X_WORLD,Y_WORLD,fluxvisaper
8.121042,-20.387941,1.085456
8.3518305,-20.387726,0.56603
8.397487,-20.387075,6.270987
8.053227,-20.385584,228.25916
8.144344,-20.386654,0.52301884
8.413068,-20.38588,1.9452195
8.3377075,-20.38605,1.213371
8.503479,-20.38551,2.423713
8.031701,-20.38435,3.9263718
8.52697,-20.384264,2.487858
8.339045,-20.384586,1.1513666
8.44238,-20.383717,5.0540805
8.538997,-20.383102,2.328086
8.076406,-20.382326,2.9673076
8.273208,-20.381096,22.968473
8.534249,-20.382147,0.58793443
8.219312,-20.381332,14.659701
8.026193,-20.381636,1.2802421
8.23337,-20.38143,1.6706789
8.307643,-20.380936,1.9112878
8.420158,-20.380602,0.7288481
8.499238,-20.380524,0.39491022
8.112686,-20.379091,71.135254
8.466188,-20.379639,9.409888
8.103877,-20.37968,0.95776284
8.445676,-20.379719,0.49496335
8.48708,-20.379124,4.7439575
8.328408,-20.378996,2.9126718
8.34683,-20.379124,1.2046063
8.283326,-20.379002,0.611232
8.091474,-20.37796,1.0881529
8.156751,-20.377377,30.608677
8.059372,-20.37648,64.63779
8.122749,-20.377373,0.88245994
8.543305,-20.376574,11.972565
8.299663,-20.37686,1.4969441
8.537988,-20.37487,174.5729
8.068741,-20.374596,112.83618
8.540901,-20.375051,13.677182
8.3064995,-20.375013,2.4051108
8.249069,-20.374008,89.99016
8.476255,-20.37433,0.5758838
8.303272,-20.373507,10.457316
8.288642,-20.373169,20.922947
8.347217,-20.37388,0.73346215
8.367476,-20.372948,35.37276
8.22697,-20.373014,4.625677
8.192909,-20.373049,2.1625829
8.268888,-20.372042,16.624577
8.286933,-20.37231,0.5771088
8.53533,-20.371609,3.440868
8.41161,-20.371851,1.2795469
8.522852,-20.371017,1.7059528
8.281427,-20.370575,12.965867
8.114521,-20.370773,0.39614132
8.089004,-20.370098,1.2904637
8.223934,-20.369898,3.5480595
8.395968,-20.368156,117.80933
8.51855,-20.369013,13.921937
8.166382,-20.369055,1.4465806
8.319669,-20.368797,8.845231
8.188602,-20.369108,1.4097207
8.456627,-20.368675,3.67309
8.380521,-20.368896,0.67759824
8.301815,-20.366882,125.30157
8.500948,-20.367085,9.501127
8.272748,-20.367424,2.9969363
8.475685,-20.366795,22.488905
8.220684,-20.367111,6.2429194
8.198984,-20.366314,4.21746
8.162832,-20.365864,11.478672
8.38198,-20.365988,4.9966893
8.15542,-20.365667,4.5463834
8.325489,-20.365723,2.4354773
8.122689,-20.365667,1.5369335
8.173663,-20.364801,41.840996
8.021764,-20.364084,13.107973
8.10819,-20.364069,5.840523
8.5046215,-20.364073,0.5698867
8.294342,-20.363613,6.114351
8.138394,-20.36339,1.8805257
8.301183,-20.362555,14.843177
8.066083,-20.361588,14.047249
8.193791,-20.361164,54.884888
8.131617,-20.361588,3.3660564
8.487715,-20.360546,49.843964
8.225264,-20.360596,51.59716
8.487463,-20.360668,9.208909
8.048045,-20.361265,0.92549676
8.162013,-20.360962,3.6520844
8.440988,-20.360842,2.125941
8.412872,-20.360899,0.5658781
8.255148,-20.360577,2.754276
8.213364,-20.360712,1.0108922
8.121551,-20.360022,2.819946
8.12617,-20.358437,32.587543
8.130291,-20.358644,0.45203552
8.102554,-20.357937,14.046302
8.480056,-20.358154,3.8799045
8.22077,-20.357475,42.15325
8.184554,-20.358042,0.6307987
8.397995,-20.35779,1.3473163
8.172146,-20.357359,0.69832987
8.50532,-20.356817,3.2215886
8.208738,-20.357162,0.73336744
8.217161,-20.356373,32.026485
8.364544,-20.357187,0.42035574
8.47872,-20.35698,0.39384085
8.123323,-20.356407,3.5864923
8.212158,-20.356424,3.0934598
8.08692,-20.356325,1.6296192
8.368172,-20.355457,10.126181
8.534887,-20.354874,34.681087
8.547678,-20.354336,74.13235
8.54711,-20.354221,9.168869
8.201896,-20.354418,2.5985768
8.530267,-20.353926,9.56109
8.512346,-20.354261,1.9672464
8.223302,-20.35448,0.39234963
8.220138,-20.353815,3.5978298
8.451625,-20.353388,1.2253141
8.247681,-20.353094,1.5706515
8.436114,-20.352636,8.245197
8.050384,-20.352457,14.186409
8.493926,-20.353106,0.62188494
8.147451,-20.351812,22.325666
8.150424,-20.350744,200.99397
8.0923,-20.352146,0.6871052
8.505127,-20.350443,109.98252
8.162773,-20.350649,29.183622
8.26788,-20.350674,23.25044
8.13839,-20.351082,0.4292785
8.020436,-20.35041,1.9551227
8.438457,-20.35038,1.1033841
8.517031,-20.34778,197.48137
8.455048,-20.349674,2.504641
8.478663,-20.348364,43.10992
8.542107,-20.348831,4.3603635
8.494364,-20.348717,3.6812267
8.120282,-20.348297,13.666248
8.085398,-20.348244,10.38469
8.123264,-20.347616,23.463224
8.114841,-20.348225,0.4825541
8.207854,-20.346693,1.103665
8.22039,-20.346535,1.9407704
8.111548,-20.345068,0.4149151
8.444855,-20.34415,5.6374297
8.047915,-20.344002,5.5013037
8.474231,-20.34399,4.9303193
8.056719,-20.343842,1.3960253
8.364944,-20.343565,0.7772337
8.122186,-20.343353,1.3410667
8.040859,-20.342821,4.5322957
8.464796,-20.342073,55.649494
8.239132,-20.34184,33.1921
8.278895,-20.34148,64.036964
8.085145,-20.341438,9.368424
8.403759,-20.341764,1.4058852
8.0823555,-20.341473,0.64566445
8.151819,-20.340342,43.31518
8.480693,-20.340681,4.6094103
8.418828,-20.339008,5.1805396
8.204689,-20.339048,10.605479
8.031638,-20.338322,5.6624165
8.151564,-20.338472,1.5568773
8.143395,-20.3373,60.58344
8.499813,-20.337599,1.5632265
8.082676,-20.336956,12.601304
8.170811,-20.336199,69.71262
8.531975,-20.336794,7.6933475
8.47835,-20.336435,25.600096
8.062671,-20.335985,14.811512
8.486388,-20.335588,34.443798
8.080018,-20.334995,22.386795
8.2000675,-20.33524,7.360594
8.386534,-20.335085,15.484693
8.503587,-20.335388,1.1138779
8.486326,-20.335072,2.8531291
8.235273,-20.33434,1.876864
8.468915,-20.333622,6.9583044
8.475058,-20.332804,1.2950602
8.2275505,-20.332127,0.9000282
8.421741,-20.330873,12.816997
8.508045,-20.330376,19.524252
8.508234,-20.33026,17.277151
8.218937,-20.33001,48.872856
8.27497,-20.330048,8.252306
8.497595,-20.328754,24.80756
8.072929,-20.32928,0.6488529
8.041013,-20.329268,0.47060817
8.53679,-20.328018,42.036144
8.373871,-20.328007,55.221584
8.123329,-20.327898,51.20888
8.294533,-20.328646,0.97095037
8.091036,-20.327745,4.2262783
8.295866,-20.327427,23.251995
8.506206,-20.327494,6.368552
8.129089,-20.327711,1.581001
8.086602,-20.327492,1.9615296
8.15201,-20.327236,0.59325314
8.14188,-20.32687,2.9040632
8.43732,-20.326853,0.62514275
8.471636,-20.32605,3.119018
8.409392,-20.325626,31.31598
8.528621,-20.32604,0.5163185
8.373429,-20.32546,2.5194755
8.351583,-20.3252,2.1528678
8.535267,-20.323997,44.691746
8.489488,-20.324598,4.7530293
8.105151,-20.32464,0.5631733
8.391603,-20.324526,0.36892053
8.396287,-20.32279,89.829865
8.095975,-20.323313,1.2310629
8.034809,-20.323174,0.8672306
8.044497,-20.321772,22.518326
8.146751,-20.32212,10.798502
8.028855,-20.321459,3.1916
8.363554,-20.321346,1.2018642
8.23052,-20.319656,93.16273
8.11009,-20.32055,5.8532
8.40889,-20.32066,2.4753597
8.341266,-20.320477,1.303566
8.15625,-20.319553,27.33953
8.268954,-20.31872,117.432
8.062542,-20.319847,1.206872
8.431808,-20.319382,0.5770771
8.535396,-20.317465,174.15408
8.411043,-20.318775,0.81473565
8.361461,-20.318172,13.769211
8.408382,-20.318691,1.3898867
8.51855,-20.317335,50.116875
8.327649,-20.316938,3.9304297
8.068936,-20.316044,10.081539
8.351903,-20.316053,3.1270723
8.393485,-20.316065,2.2343671
8.365328,-20.313683,161.08798
8.325942,-20.31488,13.244155
8.54192,-20.315264,0.6746317
8.104458,-20.314938,0.4397012
8.309925,-20.314735,1.6920744
8.440354,-20.31478,0.94691366
8.062415,-20.31437,3.146097
8.334804,-20.314322,8.999837
8.114971,-20.314596,0.47653183
8.339044,-20.314663,0.47886488
8.407877,-20.31332,56.94904
8.25655,-20.312975,11.388975
8.456185,-20.312983,3.6999428
8.229763,-20.313356,0.5625786
8.241795,-20.31226,25.447107
8.302068,-20.312506,2.3111074
8.199562,-20.31194,4.039295
8.256675,-20.311937,2.7456498
8.036395,-20.311655,0.4398901
8.0848255,-20.311039,3.8808293
8.329678,-20.310635,1.6154864
8.464166,-20.310463,0.9195732
8.291816,-20.309652,11.779034
8.435417,-20.308662,12.913489
