,IDX,SOURCE,DITHER,RA,DEC,VEL,ABMAG,THETA,MAG_AUTO,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,MAGERR_AUTO,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,CLASS_STAR
76,599,149,4,7.9424036565,-21.235074413,0.44504689672,24.4544618791,49.0440172039,25.1093196869,1.10180926323,1.04744839668,-84.0394287109,0.080381385982,0.0767723992467,0.0556376352906,2.21084542318E-06,2.13711905417E-06,61.2804641724,0.988545119762
77,613,153,2,8.29955016272,-21.6770339511,0.0518595480366,24.4795027388,64.7021263076,24.6776008606,1.20087492466,1.09338593483,69.7504348755,0.0818442031741,0.0707804113626,0.0795470699668,2.26697693506E-06,1.95466463992E-06,-50.916179657,0.825723767281
78,614,153,3,8.29954430094,-21.6770308818,0.0518595480366,24.4795027388,64.7021263076,24.7844104767,1.07690477371,1.01020872593,-38.1641654968,0.0726578980684,0.0652304887772,0.0903527885675,2.00122099159E-06,1.81416191936E-06,47.2508735657,0.971709311008
79,615,153,4,8.29954126743,-21.6770215067,0.0518595480366,24.4795027388,64.7021263076,24.6401424408,1.17442214489,0.996523201466,-77.905166626,0.0765167698264,0.0665050968528,0.0913632214069,2.10889561458E-06,1.84865700703E-06,-69.0238723755,0.930699288845
80,656,164,1,8.2624637563,-21.6729184458,0.521797314162,24.6660767125,327.646306822,24.6264686584,1.11163592339,0.995585381985,46.1152839661,0.0871857479215,0.0744279697537,0.0985878705978,2.36928372033E-06,2.10779489862E-06,-29.248872757,0.970223546028
81,657,164,2,8.26250412184,-21.6729430299,0.521797314162,24.6660767125,327.646306822,25.0823898315,1.03472340107,0.937606930733,66.5006866455,0.0809777602553,0.0748530551791,0.112005762756,2.23565484703E-06,2.07550669984E-06,-45.0973129272,0.967928826809
82,658,164,3,8.26253340247,-21.6729678871,0.521797314162,24.6660767125,327.646306822,24.6142692566,1.14884805679,0.982144832611,83.6196212769,0.0793230980635,0.0717615783215,0.0922852605581,2.19492130782E-06,1.98451130018E-06,-64.1661224365,0.814757704735
83,659,164,4,8.26257574033,-21.6729853505,0.521797314162,24.6660767125,327.646306822,24.7216033936,1.12335038185,0.984863758087,-82.9903564453,0.0926329046488,0.0820337384939,0.106699094176,2.56167663792E-06,2.27025520871E-06,-65.1482696533,0.953644394875
84,660,165,1,8.16867919209,-21.2101116956,0.0772750733584,25.6992924628,298.647891751,25.125837326,0.894724428654,0.680759072304,69.221206665,0.147918313742,0.106940805912,0.143461853266,4.10383518101E-06,2.94183723781E-06,-51.3207168579,0.824804365635
85,661,165,2,8.1686670857,-21.2101240404,0.0772750733584,25.6992924628,298.647891751,25.5116863251,0.944023728371,0.721918582916,0.00500295963138,0.164924681187,0.120523698628,0.203776493669,4.56219459011E-06,3.3344260828E-06,25.2602157593,0.53536683321
86,662,165,3,8.16867593691,-21.2101105962,0.0772750733584,25.6992924628,298.647891751,25.672208786,0.784894287586,0.499464094639,-87.8692550659,0.14446426928,0.0880716741085,0.172124400735,3.99671444029E-06,2.43588965532E-06,-64.6650695801,0.45205360651
87,663,165,4,8.16867620352,-21.2101372681,0.0772750733584,25.6992924628,298.647891751,25.755903244,0.732834279537,0.451341658831,-72.5128555298,0.171612918377,0.099153265357,0.213277772069,4.56684483652E-06,3.03414026348E-06,-81.1919403076,0.775647819042
88,696,174,1,8.19790536518,-21.3591566879,1.67046418368,25.8279517636,47.6632210975,25.8417453766,0.752843916416,0.56684088707,-43.864692688,0.183784842491,0.135760128498,0.220039710402,4.93420748171E-06,3.95062534153E-06,60.5378379822,0.717666745186
89,697,174,2,8.19801030917,-21.3590584848,1.67046418368,25.8279517636,47.6632210975,25.9552764893,0.766886651516,0.441777020693,-19.5215988159,0.217942878604,0.125838577747,0.227742478251,6.06560979577E-06,3.4172346659E-06,37.2828674316,0.327423065901
90,699,174,4,8.19818568973,-21.3588633257,1.67046418368,25.8279517636,47.6632210975,26.1623458862,0.755380153656,0.564436554909,-47.0293769836,0.184178113937,0.136065587401,0.307618498802,4.94378082294E-06,3.96071754949E-06,60.7379798889,0.538108766079
91,700,175,1,7.90058130607,-21.2259956949,0.756695595079,25.8150942777,249.349052787,26.2027111053,0.727217793465,0.676767706871,-84.7021331787,0.145848721266,0.134593978524,0.23893468082,4.03652711611E-06,3.72126874026E-06,-63.7070922852,0.28617477417
92,702,175,3,7.90054326288,-21.2261220429,0.756695595079,25.8150942777,249.349052787,25.4692325592,0.752418518066,0.56979984045,51.1965408325,0.179235905409,0.13237272203,0.176605284214,4.81234883409E-06,3.85164867112E-06,-29.4287891388,0.71798068285
93,703,175,4,7.90053256857,-21.2261717536,0.756695595079,25.8150942777,249.349052787,25.2732830048,0.749424755573,0.564860761166,43.7433509827,0.159770354629,0.11800032109,0.155716240406,4.28972498412E-06,3.43345709553E-06,-29.4241313934,0.643783330917
94,716,179,1,8.14658334854,-21.2841269076,0.204334724637,25.6962894223,240.92906783,26.0903091431,0.756870090961,0.499407798052,-1.84504556656,0.166269093752,0.101870544255,0.229575052857,4.59965303889E-06,2.81807047031E-06,25.2965545654,0.611571967602
95,717,179,2,8.14656738278,-21.2841455479,0.204334724637,25.6962894223,240.92906783,25.2660007477,0.812252223492,0.670772969723,-45.6605758667,0.145579174161,0.114837490022,0.16329832375,3.92850097342E-06,3.29819431499E-06,60.6310539246,0.860441505909
96,718,179,3,8.14657074652,-21.2841654525,0.204334724637,25.6962894223,240.92906783,25.8141956329,0.794902563095,0.693971693516,2.08963561058,0.15151616931,0.123931720853,0.194273501635,4.19150865127E-06,3.42843350154E-06,25.2847480774,0.549006164074
97,719,179,4,8.14656641605,-21.2841645311,0.204334724637,25.6962894223,240.92906783,26.1922740936,0.768908143044,0.499436676502,1.97499871254,0.160057902336,0.0980218201876,0.240075811744,4.42763302999E-06,2.71196222457E-06,25.2630519867,0.855271399021
98,720,180,1,8.13202627915,-21.6607690622,0.938933418456,25.5309557281,109.387538219,25.7742652893,0.725681841373,0.670741736889,6.01356315613,0.141815885901,0.131223663688,0.203316703439,3.92292804463E-06,3.63034905604E-06,25.1600399017,0.773490011692
99,721,180,2,8.13199460673,-21.6606962304,0.938933418456,25.5309557281,109.387538219,25.3510303497,0.974214732647,0.481985211372,81.7021026611,0.200177803636,0.0918605923653,0.168106719851,5.58954570806E-06,2.42481655732E-06,-59.2052993774,0.449678480625
100,723,180,4,8.13194693506,-21.6605546171,0.938933418456,25.5309557281,109.387538219,25.839723587,0.813329815865,0.670986413956,-45.1594924927,0.123137585819,0.0974463224411,0.128969788551,3.32426157001E-06,2.79633832179E-06,60.4611206055,0.486056357622
101,725,181,2,8.31221272243,-21.2238902785,0.272657237481,25.295424202,220.915632203,24.8980102539,1.14665961266,1.01767373085,24.1032981873,0.123027026653,0.107451029122,0.134095609188,3.33596972268E-06,3.04790728478E-06,-7.98466825485,0.755508542061
